incident_id,datetime,area,crime_type,reporter_source,num_offenders,severity,population_density,socio_econ_index,hour,dayofweek,incident_next_24h
WOM100000,2023-03-26 16:38:00,Chennai Central,Harassment,News,2,5,14756,48.9,16,6,1
WOM100001,2023-04-02 14:52:00,Chennai Central,Harassment,Police_Report,2,2,11346,67.7,14,6,1
WOM100002,2023-09-12 01:18:00,Pune North,Harassment,Police_Report,2,3,10495,52.2,1,1,1
WOM100003,2023-06-29 23:38:00,Chennai Central,Domestic Violence,Police_Report,2,2,10167,42.2,23,3,0
WOM100004,2023-03-18 13:48:00,Kolkata North,Rape,Police_Report,2,4,14507,29.5,13,5,1
WOM100005,2023-02-08 02:46:00,Bhopal North,Abduction,Police_Report,2,2,11434,55.9,2,2,0
WOM100006,2023-04-06 08:57:00,Chennai Central,Abduction,Police_Report,3,5,13336,63.7,8,3,0
WOM100007,2023-12-29 02:30:00,Pune North,Assault,News,2,5,9017,31.0,2,4,1
WOM100008,2023-03-02 18:18:00,Chennai Central,Harassment,Social_Media,2,3,12293,44.3,18,3,1
WOM100009,2023-05-02 16:03:00,Chennai Central,Harassment,Social_Media,1,4,7594,64.5,16,1,1
WOM100010,2023-05-13 20:55:00,Lucknow Central,Domestic Violence,News,1,5,9662,37.2,20,5,1
WOM100011,2023-07-13 04:07:00,Kolkata North,Molestation,News,3,3,12187,37.1,4,3,1
WOM100012,2023-01-29 12:50:00,Hyderabad West,Assault,Social_Media,1,3,9027,47.7,12,6,1
WOM100013,2023-08-17 17:25:00,Delhi Central,Domestic Violence,Social_Media,2,5,10413,69.7,17,3,1
WOM100014,2023-02-15 00:20:00,Bhopal North,Molestation,Police_Report,2,5,15037,63.8,0,2,0
WOM100015,2023-08-12 12:39:00,Chennai Central,Harassment,Police_Report,1,4,10811,69.7,12,5,0
WOM100016,2023-08-16 03:09:00,Jaipur South,Domestic Violence,Police_Report,3,3,10542,35.1,3,2,0
WOM100017,2023-05-19 05:21:00,Chennai Central,Abduction,Police_Report,3,3,8446,40.1,5,4,1
WOM100018,2023-03-13 18:35:00,Lucknow Central,Abduction,News,1,3,9915,47.3,18,0,1
WOM100019,2023-06-13 17:56:00,Hyderabad West,Harassment,Police_Report,2,4,11975,45.4,17,1,1
WOM100020,2023-05-29 17:36:00,Jaipur South,Domestic Violence,Social_Media,1,3,14532,38.3,17,0,0
WOM100021,2023-05-09 07:39:00,Bhopal North,Domestic Violence,Police_Report,4,2,5858,57.2,7,1,0
WOM100022,2023-08-30 06:49:00,Jaipur South,Harassment,Police_Report,7,2,15215,25.6,6,2,1
WOM100023,2023-10-20 23:49:00,Kolkata North,Abduction,Police_Report,2,3,10473,52.2,23,4,1
WOM100024,2023-06-29 17:15:00,Pune North,Harassment,Police_Report,3,2,11623,74.9,17,3,1
WOM100025,2023-12-04 15:52:00,Pune North,Rape,Police_Report,3,2,14818,51.2,15,0,1
WOM100026,2023-12-14 08:26:00,Bhopal North,Abduction,Police_Report,1,4,20900,37.5,8,3,0
WOM100027,2023-04-19 20:10:00,Hyderabad West,Rape,Police_Report,1,3,14179,30.8,20,2,0
WOM100028,2023-09-25 03:21:00,Pune North,Assault,Police_Report,1,4,10035,55.4,3,0,0
WOM100029,2023-04-14 19:43:00,Mumbai South,Harassment,Social_Media,3,3,12740,76.0,19,4,0
WOM100030,2023-11-11 03:26:00,Lucknow Central,Harassment,Police_Report,4,5,13685,53.2,3,5,1
WOM100031,2023-02-15 15:25:00,Bhopal North,Harassment,Police_Report,2,2,6389,45.0,15,2,1
WOM100032,2023-04-01 06:21:00,Bhopal North,Harassment,Police_Report,3,4,7665,38.6,6,5,0
WOM100033,2023-02-28 18:54:00,Delhi Central,Abduction,Police_Report,3,4,13611,27.8,18,1,0
WOM100034,2023-08-10 13:10:00,Delhi Central,Harassment,Police_Report,4,5,14116,54.1,13,3,1
WOM100035,2023-08-17 10:27:00,Kolkata North,Abduction,Police_Report,1,5,13513,26.0,10,3,1
WOM100036,2023-07-09 22:58:00,Kolkata North,Assault,Police_Report,3,2,14606,63.7,22,6,1
WOM100037,2023-08-19 00:36:00,Delhi Central,Abduction,News,4,2,10520,59.4,0,5,1
WOM100038,2023-12-06 22:12:00,Pune North,Domestic Violence,Police_Report,1,3,16322,46.8,22,2,1
WOM100039,2023-06-28 08:40:00,Bengaluru East,Abduction,Police_Report,1,3,19286,59.7,8,2,0
WOM100040,2023-11-25 15:34:00,Bhopal North,Molestation,Police_Report,1,5,9421,52.6,15,5,0
WOM100041,2023-08-31 16:17:00,Mumbai South,Harassment,Police_Report,2,2,6963,59.6,16,3,0
WOM100042,2023-07-08 03:36:00,Bhopal North,Assault,Police_Report,2,2,11707,63.4,3,5,1
WOM100043,2023-06-16 14:51:00,Chennai Central,Assault,Social_Media,2,5,15514,46.2,14,4,0
WOM100044,2023-06-16 09:49:00,Hyderabad West,Assault,Social_Media,3,5,14644,30.6,9,4,1
WOM100045,2023-05-23 09:21:00,Lucknow Central,Domestic Violence,Police_Report,4,4,12573,83.9,9,1,0
WOM100046,2023-10-17 15:53:00,Bengaluru East,Assault,News,3,5,2756,46.8,15,1,1
WOM100047,2023-02-17 07:48:00,Mumbai South,Abduction,Police_Report,1,4,9227,43.6,7,4,0
WOM100048,2023-06-24 23:55:00,Chennai Central,Assault,Social_Media,1,3,16419,56.7,23,5,0
WOM100049,2023-06-28 03:08:00,Kolkata North,Molestation,Social_Media,4,5,5017,47.1,3,2,0
WOM100050,2023-03-15 23:30:00,Mumbai South,Molestation,Social_Media,2,5,12083,31.1,23,2,0
WOM100051,2023-11-16 16:17:00,Delhi Central,Assault,Police_Report,3,5,9706,32.1,16,3,1
WOM100052,2023-11-16 06:53:00,Bhopal North,Harassment,Police_Report,1,4,14615,36.6,6,3,1
WOM100053,2023-05-25 15:01:00,Mumbai South,Rape,Police_Report,1,5,5330,55.4,15,3,1
WOM100054,2023-08-25 20:57:00,Hyderabad West,Molestation,Police_Report,5,5,10796,39.6,20,4,1
WOM100055,2023-08-07 20:19:00,Jaipur South,Harassment,Police_Report,2,2,12627,64.0,20,0,1
WOM100056,2023-04-30 07:49:00,Kolkata North,Assault,Police_Report,2,2,10593,47.7,7,6,1
WOM100057,2023-07-08 18:36:00,Lucknow Central,Molestation,Police_Report,1,2,14411,48.8,18,5,0
WOM100058,2023-11-01 20:14:00,Lucknow Central,Domestic Violence,Social_Media,3,5,5836,50.9,20,2,0
WOM100059,2023-05-21 11:23:00,Mumbai South,Harassment,Police_Report,3,2,7512,34.4,11,6,0
WOM100060,2023-05-17 15:29:00,Jaipur South,Abduction,Social_Media,2,3,10694,69.1,15,2,0
WOM100061,2023-06-04 23:25:00,Bhopal North,Molestation,Police_Report,2,2,13347,54.7,23,6,1
WOM100062,2023-12-05 19:19:00,Chennai Central,Rape,News,3,5,14051,47.4,19,1,1
WOM100063,2023-09-03 12:11:00,Bengaluru East,Domestic Violence,Police_Report,1,2,12691,42.1,12,6,0
WOM100064,2023-07-02 18:00:00,Bhopal North,Domestic Violence,Police_Report,4,2,8320,41.8,18,6,0
WOM100065,2023-06-03 09:24:00,Chennai Central,Harassment,News,3,2,9612,32.6,9,5,1
WOM100066,2023-01-17 03:27:00,Bengaluru East,Rape,Police_Report,3,3,16423,30.0,3,1,1
WOM100067,2023-01-17 21:00:00,Jaipur South,Harassment,Police_Report,2,3,20084,30.0,21,1,0
WOM100068,2023-11-21 12:01:00,Bengaluru East,Molestation,Police_Report,2,4,14436,65.9,12,1,0
WOM100069,2023-08-31 07:51:00,Bhopal North,Assault,Police_Report,1,5,13377,38.5,7,3,0
WOM100070,2023-07-10 12:09:00,Hyderabad West,Rape,Police_Report,2,3,7385,33.9,12,0,1
WOM100071,2023-10-28 05:15:00,Mumbai South,Harassment,Police_Report,2,3,12788,69.3,5,5,0
WOM100072,2023-12-25 17:48:00,Chennai Central,Abduction,News,2,3,5258,50.9,17,0,1
WOM100073,2023-06-14 07:04:00,Hyderabad West,Harassment,Social_Media,1,5,17255,32.4,7,2,0
WOM100074,2023-09-19 17:36:00,Chennai Central,Domestic Violence,Police_Report,4,4,14240,58.6,17,1,1
WOM100075,2023-02-04 00:24:00,Mumbai South,Rape,Social_Media,3,5,11770,71.8,0,5,0
WOM100076,2023-07-30 08:38:00,Pune North,Domestic Violence,Police_Report,3,2,7368,60.2,8,6,1
WOM100077,2023-07-03 19:52:00,Bengaluru East,Abduction,Police_Report,3,4,12726,52.1,19,0,0
WOM100078,2023-03-25 10:31:00,Jaipur South,Harassment,Police_Report,3,2,5991,57.0,10,5,1
WOM100079,2023-11-13 12:48:00,Pune North,Molestation,Social_Media,2,3,10742,67.9,12,0,1
WOM100080,2023-04-03 21:27:00,Pune North,Domestic Violence,Police_Report,3,5,13660,75.9,21,0,0
WOM100081,2023-04-05 16:10:00,Lucknow Central,Domestic Violence,Social_Media,3,2,9149,35.7,16,2,0
WOM100082,2023-11-30 20:34:00,Delhi Central,Domestic Violence,Police_Report,4,4,11840,50.3,20,3,0
WOM100083,2023-07-29 11:28:00,Bhopal North,Domestic Violence,News,2,2,21321,59.1,11,5,0
WOM100084,2023-01-10 17:06:00,Hyderabad West,Assault,Social_Media,1,2,4847,52.6,17,1,1
WOM100085,2023-03-31 19:12:00,Hyderabad West,Domestic Violence,Police_Report,3,3,8911,57.9,19,4,1
WOM100086,2023-01-09 19:06:00,Hyderabad West,Abduction,Social_Media,2,2,10966,83.1,19,0,1
WOM100087,2023-07-28 21:24:00,Hyderabad West,Rape,Police_Report,4,2,9877,46.1,21,4,1
WOM100088,2023-04-04 11:53:00,Bhopal North,Rape,Police_Report,2,3,13812,28.8,11,1,0
WOM100089,2023-07-20 16:38:00,Pune North,Harassment,Police_Report,3,4,14161,77.8,16,3,1
WOM100090,2023-07-17 18:46:00,Bhopal North,Assault,Police_Report,3,3,12180,76.5,18,0,0
WOM100091,2023-01-22 04:55:00,Hyderabad West,Harassment,Social_Media,2,2,12545,58.1,4,6,0
WOM100092,2023-09-18 21:53:00,Delhi Central,Harassment,Police_Report,2,5,4811,42.6,21,0,1
WOM100093,2023-09-01 22:39:00,Kolkata North,Abduction,Police_Report,2,3,13891,62.9,22,4,0
WOM100094,2023-12-06 23:30:00,Mumbai South,Rape,Police_Report,1,3,12773,50.5,23,2,0
WOM100095,2023-11-14 01:11:00,Hyderabad West,Harassment,Police_Report,3,2,9228,45.4,1,1,0
WOM100096,2023-07-09 15:49:00,Jaipur South,Assault,Police_Report,1,5,18475,39.9,15,6,1
WOM100097,2023-01-18 00:58:00,Kolkata North,Molestation,Social_Media,2,4,11704,49.8,0,2,0
WOM100098,2023-05-21 01:04:00,Bhopal North,Rape,News,5,5,12901,58.2,1,6,0
WOM100099,2023-12-08 03:14:00,Jaipur South,Abduction,Police_Report,2,3,11836,52.5,3,4,0
WOM100100,2023-04-07 15:42:00,Jaipur South,Domestic Violence,Police_Report,4,5,5398,63.3,15,4,0
WOM100101,2023-11-25 03:25:00,Chennai Central,Abduction,Police_Report,3,4,7950,46.7,3,5,1
WOM100102,2023-04-20 22:58:00,Jaipur South,Harassment,Social_Media,2,5,10893,43.7,22,3,0
WOM100103,2023-05-08 19:44:00,Hyderabad West,Harassment,Police_Report,4,5,15928,55.8,19,0,0
WOM100104,2023-05-29 15:00:00,Chennai Central,Harassment,Police_Report,2,5,10169,51.3,15,0,0
WOM100105,2023-03-24 18:16:00,Lucknow Central,Assault,Social_Media,3,3,12824,72.3,18,4,0
WOM100106,2023-06-01 11:26:00,Pune North,Molestation,Police_Report,1,2,13819,44.8,11,3,1
WOM100107,2023-06-02 01:29:00,Jaipur South,Domestic Violence,Police_Report,3,2,8802,42.5,1,4,1
WOM100108,2023-03-27 00:09:00,Delhi Central,Assault,Social_Media,2,5,8256,47.5,0,0,0
WOM100109,2023-06-26 02:58:00,Mumbai South,Assault,Police_Report,3,3,9281,43.8,2,0,1
WOM100110,2023-02-04 17:35:00,Jaipur South,Harassment,Police_Report,3,3,9029,40.5,17,5,1
WOM100111,2023-03-26 18:56:00,Lucknow Central,Domestic Violence,Police_Report,1,3,7650,25.5,18,6,0
WOM100112,2023-05-09 17:00:00,Bengaluru East,Rape,Police_Report,2,2,15449,32.7,17,1,0
WOM100113,2023-03-18 20:47:00,Bhopal North,Harassment,Police_Report,1,3,14342,48.2,20,5,0
